Year,Month,District,Max  temp,Min Temp,Days of frost in the air (days 0 or below),Rainfall,Sunshine,Temperature
2015,6,England NW & N Wales,17.2,8.4,0,49.8,193.2,12.8
2015,7,England NW & N Wales,18,10.5,0,109.6,158.3,14.25
2015,8,England NW & N Wales,18.5,10.7,0,99.8,156.1,14.6
2015,9,England NW & N Wales,16,7.5,0,53,160.5,11.75
2015,10,England NW & N Wales,13.6,6.2,0.2,67.9,82.8,9.9
2015,11,England NW & N Wales,11.4,5.8,2.3,260.9,31.7,8.6
2015,12,England NW & N Wales,11.1,5.6,1,342.9,23.8,8.35
2015,1,Midlands,7.2,0.9,12.2,75.5,72.5,4.05
2015,2,Midlands,6.8,0.6,11.2,41,77.4,3.7
2015,3,Midlands,10,2.2,5.5,52.4,121,6.1
2015,4,Midlands,14.3,3.6,1.8,23.3,218.5,8.95
2015,5,Midlands,14.8,6.4,0.2,79.2,173.3,10.6
2015,6,Midlands,19.1,8.6,0,37.3,219.7,13.85
2015,7,Midlands,20.4,10.8,0,65.9,185.7,15.6
2015,8,Midlands,20.2,11.3,0,80.4,147.8,15.75
2015,9,Midlands,17,7.6,0,41.6,163.3,12.3
2015,10,Midlands,14.3,6.8,0,57.4,85.5,10.55
2015,11,Midlands,12,5.9,2.8,107.5,35.2,8.95
2015,12,Midlands,12.1,6.4,0.3,120.7,34,9.25
2015,1,East Anlia,7.6,0.9,12.9,55.4,71.6,4.25
2015,2,East Anlia,7.3,0.9,9.6,38.7,88.3,4.1
2015,3,East Anlia,10.8,2.7,4.8,24,144.6,6.75
2015,4,East Anlia,14.4,3.9,1.3,20.7,215.8,9.15
2015,5,East Anlia,16.4,6.8,0.4,50,193.4,11.6
2015,6,East Anlia,20.1,9.2,0,22,227.5,14.65
2015,7,East Anlia,22.4,11.9,0,84.2,202.9,17.15
2015,8,East Anlia,22,12.4,0,72.5,163.5,17.2
2015,9,East Anlia,17.8,8.5,0,50.4,170.7,13.15
2015,10,East Anlia,14.8,7.6,0,43.3,97.9,11.2
2015,11,East Anlia,12.8,6.3,2.3,71.2,41.7,9.55
2015,12,East Anlia,12.7,7.2,0,51.5,44.3,9.95
2015,1,Englad SE & Centra SOuth,8.4,1.4,10.9,96.5,69.1,4.9
2015,2,Englad SE & Centra SOuth,7.4,0.8,10.9,58.6,79.7,4.1
2015,3,Englad SE & Centra SOuth,10.7,3.1,3,23.4,142.3,6.9
2015,4,Englad SE & Centra SOuth,14.9,4.3,1.1,18.5,227.7,9.6
2015,5,Englad SE & Centra SOuth,16.1,7.3,0,62.8,195.7,11.7
2015,6,Englad SE & Centra SOuth,20.3,9.6,0,26.4,248,14.95
2015,7,Englad SE & Centra SOuth,21.8,11.9,0,59.8,204.1,16.85
2015,8,Englad SE & Centra SOuth,21,12.2,0,108.2,148.2,16.6
2015,9,Englad SE & Centra SOuth,17.9,8.4,0,67.5,179.1,13.15
2015,10,Englad SE & Centra SOuth,15,7.6,0,58,96.6,11.3
2015,11,Englad SE & Centra SOuth,12.9,7.2,2.6,77.5,29.5,10.05
2015,12,Englad SE & Centra SOuth,12.8,8.2,0,80.1,33.5,10.5
2015,1,England E & NE,6.4,0.6,13.3,63.1,76.2,3.5
2015,2,England E & NE,6.6,0.5,11.7,37.3,94.4,3.55
2015,3,England E & NE,9.4,1.8,7.4,45.6,124.4,5.6
2015,4,England E & NE,13,3,3.2,25.8,224.2,8
2015,5,England E & NE,14.2,5.7,1.2,82.7,190.6,9.95
2015,6,England E & NE,17.9,7.9,0.1,34.8,204.3,12.9
2015,7,England E & NE,19.4,10.2,0,85.5,178.8,14.8
2015,8,England E & NE,19.9,10.9,0,73,180.1,15.4
2015,9,England E & NE,16.4,7.5,0,38.9,159,11.95
2015,10,England E & NE,13.8,6.4,0.1,64.2,90.3,10.1
